document_id,clean_text,sentiment
1,machine learning is transforming healthcare,positive
2,deep learning models are improving rapidly,positive
3,ai will change the future of work,positive
4,natural language processing is a powerful ai tool,positive
5,just built my first machine learning model,positive
6,artificial intelligence and data science go hand in hand,positive
7,reinforcement learning is fascinating,positive
8,ai applications are everywhere today,positive
9,neural networks are at the core of deep learning,positive
10,ai ethics is an important discussion topic,positive
